"Sensor_Name","Date","sum(Hourly_Counts)"
"Flagstaff Station",2009-06-01,24756
"Flagstaff Station",2009-06-02,25622
"Flagstaff Station",2009-06-03,25562
"Flagstaff Station",2009-06-04,25371
"Flagstaff Station",2009-06-05,23468
"Flagstaff Station",2009-06-06,922
"Flagstaff Station",2009-06-07,906
"Flagstaff Station",2009-06-08,665
"Flagstaff Station",2009-06-09,26208
"Flagstaff Station",2009-06-10,25925
"Flagstaff Station",2009-06-11,24966
"Flagstaff Station",2009-06-12,23257
"Flagstaff Station",2009-06-13,1013
"Flagstaff Station",2009-06-14,699
"Flagstaff Station",2009-06-15,24680
"Flagstaff Station",2009-06-16,25599
"Flagstaff Station",2009-06-17,24885
"Flagstaff Station",2009-06-18,24875
"Flagstaff Station",2009-06-19,23234
"Flagstaff Station",2009-06-20,958
"Flagstaff Station",2009-06-21,740
"Flagstaff Station",2009-06-22,25220
"Flagstaff Station",2009-06-23,25448
"Flagstaff Station",2009-06-24,24642
"Flagstaff Station",2009-06-25,24874
"Flagstaff Station",2009-06-26,22935
"Flagstaff Station",2009-06-27,1006
"Flagstaff Station",2009-06-28,825
"Flagstaff Station",2009-06-29,23612
"Flagstaff Station",2009-06-30,24759
"Flagstaff Station",2009-07-01,23109
"Flagstaff Station",2009-07-02,23543
"Flagstaff Station",2009-07-03,22042
"Flagstaff Station",2009-07-04,985
"Flagstaff Station",2009-07-05,791
"Flagstaff Station",2009-07-06,22543
"Flagstaff Station",2009-07-07,23328
"Flagstaff Station",2009-07-08,22737
"Flagstaff Station",2009-07-09,22954
"Flagstaff Station",2009-07-10,21551
"Flagstaff Station",2009-07-11,748
"Flagstaff Station",2009-07-12,686
"Flagstaff Station",2009-07-13,24927
"Flagstaff Station",2009-07-14,25546
"Flagstaff Station",2009-07-15,24735
"Flagstaff Station",2009-07-16,23678
"Flagstaff Station",2009-07-17,23243
"Flagstaff Station",2009-07-18,1192
"Flagstaff Station",2009-07-19,1109
"Flagstaff Station",2009-07-20,25139
"Flagstaff Station",2009-07-21,25293
"Flagstaff Station",2009-07-22,25583
"Flagstaff Station",2009-07-23,25278
"Flagstaff Station",2009-07-24,24033
"Flagstaff Station",2009-07-25,1138
"Flagstaff Station",2009-07-26,768
"Flagstaff Station",2009-07-27,25293
"Flagstaff Station",2009-07-28,25561
"Flagstaff Station",2009-07-29,24889
"Flagstaff Station",2009-07-30,26477
"Flagstaff Station",2009-07-31,23170
"Flagstaff Station",2009-08-01,988
"Flagstaff Station",2009-08-02,813
"Flagstaff Station",2009-08-03,25444
"Flagstaff Station",2009-08-04,26907
"Flagstaff Station",2009-08-05,25461
"Flagstaff Station",2009-08-06,24900
"Flagstaff Station",2009-08-07,23313
"Flagstaff Station",2009-08-08,1240
"Flagstaff Station",2009-08-09,789
"Flagstaff Station",2009-08-10,25355
"Flagstaff Station",2009-08-11,26590
"Flagstaff Station",2009-08-12,25435
"Flagstaff Station",2009-08-13,25540
"Flagstaff Station",2009-08-14,23488
"Flagstaff Station",2009-08-15,1098
"Flagstaff Station",2009-08-16,662
"Flagstaff Station",2009-08-17,25002
"Flagstaff Station",2009-08-18,25642
"Flagstaff Station",2009-08-19,25295
"Flagstaff Station",2009-08-20,26776
"Flagstaff Station",2009-08-21,22554
"Flagstaff Station",2009-08-22,1125
"Flagstaff Station",2009-08-23,830
"Flagstaff Station",2009-08-24,26929
"Flagstaff Station",2009-08-25,25638
"Flagstaff Station",2009-08-26,25143
"Flagstaff Station",2009-08-27,25595
"Flagstaff Station",2009-08-28,23759
"Flagstaff Station",2009-08-29,1030
"Flagstaff Station",2009-08-30,922
"Flagstaff Station",2009-08-31,26092
"Flagstaff Station",2009-09-01,26010
"Flagstaff Station",2009-09-02,25001
"Flagstaff Station",2009-09-03,25626
"Flagstaff Station",2009-09-04,24602
"Flagstaff Station",2009-09-05,989
"Flagstaff Station",2009-09-06,613
"Flagstaff Station",2009-09-07,25271
"Flagstaff Station",2009-09-08,25785
"Flagstaff Station",2009-09-09,25666
"Flagstaff Station",2009-09-10,24934
"Flagstaff Station",2009-09-11,23181
"Flagstaff Station",2009-09-12,1097
"Flagstaff Station",2009-09-13,630
"Flagstaff Station",2009-09-14,24642
"Flagstaff Station",2009-09-15,26177
"Flagstaff Station",2009-09-16,24931
"Flagstaff Station",2009-09-17,26799
"Flagstaff Station",2009-09-18,22690
"Flagstaff Station",2009-09-19,1041
"Flagstaff Station",2009-09-20,603
"Flagstaff Station",2009-09-21,23724
"Flagstaff Station",2009-09-22,23802
"Flagstaff Station",2009-09-23,23512
