Station,Line Group,Network Segment,Line Segment,Zone,Distance KM from Southern Cross Station,Interchange,LGA,Suburb
Aircraft,Northern,Newport Corridor,Laverton-Werribee,Zone 2,22.226,Connecting Bus,Hobsons Bay,Laverton
Alamein,Burnley,Camberwell Corridor,Riversdale-Alamein,Zone 1,16.121,-,Boroondara,Ashburton
Albion,Northern,Middle Footscray-Sydenham,Albion-St Albans,Zone 1 & 2,13.65,Connecting Bus,Brimbank,Sunshine North
Alphington,Clifton Hill,Westgarth-Hurstbridge,Westgarth-Greensborough,Zone 1,10.458,Connecting Bus,Darebin,Alphington
Altona,Northern,Newport Corridor,Seaholme-Westona,Zone 1 & 2,17.148,Connecting Bus,Hobsons Bay,Altona
Anstey,Northern,Macaulay-Upfield,Macaulay-Upfield,Zone 1,8.043,Connecting Bus & Tram,Moreland,Brunswick
Armadale,Caulfield,Hawksburn-Malvern,Hawksburn-Malvern,Zone 1,8.665,Connecting Bus & Tram,Stonnington,Armadale
Ascot Vale,Northern,Kensington-Craigieburn,Kensington-Essendon,Zone 1,5.811,Connecting Bus,Moonee Valley,Ascot Vale
Ashburton,Burnley,Camberwell Corridor,Riversdale-Alamein,Zone 1,15.392,Connecting Bus,Boroondara,Ashburton
Aspendale,Caulfield,Glenhuntly-Frankston,Aspendale-Carrum,Zone 2,30.312,Connecting Bus,Kingston,Aspendale
Auburn,Burnley,Camberwell Corridor,Auburn & Hawthorn,Zone 1,8.96,Connecting Bus,Boroondara,Hawthorn East
Balaclava,Caulfield,Prahran-Sandringham,Prahran-Middle Brighton,Zone 1,9.082,Connecting Tram,Port Phillip,Balaclava
Batman,Northern,Macaulay-Upfield,Macaulay-Upfield,Zone 1 & 2,11.225,Connecting Tram,Moreland,Coburg North
Bayswater,Burnley,Camberwell Corridor,Heathmont-Belgrave,Zone 2,30.844,Connecting Bus,Knox,Bayswater
Beaconsfield,Caulfield,Dandenong Corridor,Beaconsfield-Pakenham,Zone 2,46.989,Connecting Bus,Cardinia,Beaconsfield
Belgrave,Burnley,Camberwell Corridor,Heathmont-Belgrave,Zone 2,42.693,Connecting Bus,Yarra Ranges,Belgrave
Bell,Clifton Hill,Rushall-South Morang,Rushall-South Morang,Zone 1,11.703,Connecting Bus,Darebin,Preston
Bentleigh,Caulfield,Glenhuntly-Frankston,Glenhuntly-Moorabbin,Zone 1 & 2,16.522,Connecting Bus,Glen Eira,Bentleigh
