Station,Financial Year,Patronage (millions)
Aircraft,2008-09,0.314
Alamein,2008-09,0.176
Albion,2008-09,0.785
Alphington,2008-09,0.316
Altona,2008-09,0.409
Anstey,2008-09,0.354
Armadale,2008-09,0.568
Ascot Vale,2008-09,0.571
Ashburton,2008-09,0.296
Aspendale,2008-09,0.389
Auburn,2008-09,0.635
Balaclava,2008-09,1.099
Batman,2008-09,0.319
Bayswater,2008-09,0.492
Beaconsfield,2008-09,0.226
Belgrave,2008-09,0.584
Bell,2008-09,0.508
Bentleigh,2008-09,0.990
Berwick,2008-09,0.750
Blackburn,2008-09,1.123
Bonbeach,2008-09,0.324
Boronia,2008-09,0.617
Box Hill,2008-09,3.025
Brighton Beach,2008-09,0.427
Broadmeadows,2008-09,0.683
Brunswick,2008-09,0.269
Burnley,2008-09,0.836
Burwood,2008-09,0.374
Camberwell,2008-09,2.102
Canterbury,2008-09,0.373
Cardinia Road,2008-09,0.000
Carnegie,2008-09,0.831
Carrum,2008-09,0.560
Caulfield,2008-09,3.135
Chatham,2008-09,0.248
Chelsea,2008-09,0.603
Cheltenham,2008-09,1.362
Clayton,2008-09,1.720
Clifton Hill,2008-09,1.001
Coburg,2008-09,0.704
Collingwood,2008-09,0.357
Coolaroo,2008-09,0.000
Craigieburn,2008-09,0.576
Cranbourne,2008-09,0.566
Croxton,2008-09,0.282
Croydon,2008-09,0.886
Dandenong,2008-09,2.470
Darebin,2008-09,0.153
Darling,2008-09,0.358
Dennis,2008-09,0.351
Diamond Creek,2008-09,0.237
Eaglemont,2008-09,0.216
East Camberwell,2008-09,0.253
East Malvern,2008-09,0.475
East Richmond,2008-09,0.536
Edithvale,2008-09,0.399
Elsternwick,2008-09,1.008
Eltham,2008-09,0.733
Epping,2008-09,0.891
Essendon,2008-09,1.680
Fairfield,2008-09,0.728
Fawkner,2008-09,0.208
Ferntree Gully,2008-09,0.468
Flagstaff,2008-09,4.188
Flemington Bridge,2008-09,0.165
Flinders Street,2008-09,24.641
Footscray,2008-09,3.705
Frankston,2008-09,3.130
Gardenvale,2008-09,0.450
Gardiner,2008-09,0.435
Ginifer,2008-09,0.709
Glen Iris,2008-09,0.375
Glen Waverley,2008-09,1.755
Glenbervie,2008-09,0.346
Glenferrie,2008-09,2.251
Glenhuntly,2008-09,1.341
Glenroy,2008-09,1.295
Gowrie,2008-09,0.230
Greensborough,2008-09,0.894
Hallam,2008-09,0.685
Hampton,2008-09,0.405
Hartwell,2008-09,0.192
Hawksburn,2008-09,0.476
Hawthorn,2008-09,0.575
Heatherdale,2008-09,0.515
Heathmont,2008-09,0.286
Heidelberg,2008-09,0.953
Heyington,2008-09,0.276
Highett,2008-09,0.488
Holmesglen,2008-09,0.774
Hoppers Crossing,2008-09,1.133
Hughesdale,2008-09,0.485
Huntingdale,2008-09,1.562
Hurstbridge,2008-09,0.256
Ivanhoe,2008-09,0.985
Jacana,2008-09,0.138
Jewell,2008-09,0.388
Jolimont,2008-09,0.590
Jordanville,2008-09,0.346
Kananook,2008-09,0.320
Keilor Plains,2008-09,0.593
Kensington,2008-09,0.557
Keon Park,2008-09,0.310
Kooyong,2008-09,0.335
Laburnum,2008-09,0.410
Lalor,2008-09,0.423
Laverton,2008-09,1.443
Lilydale,2008-09,0.799
Lynbrook,2008-09,0.000
Macaulay,2008-09,0.155
Macleod,2008-09,0.512
Malvern,2008-09,1.173
Mckinnon,2008-09,0.452
Melbourne Central,2008-09,14.916
Mentone,2008-09,0.915
Merinda Park,2008-09,0.299
Merlynston,2008-09,0.392
Merri,2008-09,0.220
Middle Brighton,2008-09,0.514
Middle Footscray,2008-09,0.185
Mitcham,2008-09,1.130
Mont Albert,2008-09,0.354
Montmorency,2008-09,0.344
Moonee Ponds,2008-09,0.824
Moorabbin,2008-09,0.715
Mooroolbark,2008-09,0.794
Mordialloc,2008-09,0.661
Moreland,2008-09,0.368
Mount Waverley,2008-09,1.155
Murrumbeena,2008-09,0.823
Narre Warren,2008-09,0.819
Newmarket,2008-09,0.855
Newport,2008-09,1.259
Noble Park,2008-09,1.457
North Brighton,2008-09,0.766
North Melbourne,2008-09,0.686
North Richmond,2008-09,0.455
North Williamstown,2008-09,0.386
Northcote,2008-09,0.369
Nunawading,2008-09,0.926
Oak Park,2008-09,0.472
Oakleigh,2008-09,1.601
Officer,2008-09,0.021
Ormond,2008-09,0.824
Pakenham,2008-09,0.566
Parkdale,2008-09,0.451
Parliament,2008-09,10.276
Pascoe Vale,2008-09,0.515
Patterson,2008-09,0.225
Prahran,2008-09,0.946
Preston,2008-09,0.848
Regent,2008-09,0.540
Reservoir,2008-09,1.237
Richmond,2008-09,2.052
Ringwood,2008-09,1.733
Ringwood East,2008-09,0.386
Ripponlea,2008-09,0.675
Riversdale,2008-09,0.257
Rosanna,2008-09,0.516
Roxburgh Park,2008-09,0.427
Royal Park,2008-09,0.296
Rushall,2008-09,0.143
Ruthven,2008-09,0.314
Sandown Park,2008-09,0.404
Sandringham,2008-09,0.606
Seaford,2008-09,0.528
Seaholme,2008-09,0.159
Seddon,2008-09,0.371
South Morang,2008-09,0.000
South Kensington,2008-09,0.208
South Yarra,2008-09,2.705
Southern Cross (Spencer St.),2008-09,13.089
Spotswood,2008-09,0.256
Springvale,2008-09,1.609
St Albans,2008-09,1.680
Strathmore,2008-09,0.347
Sunshine,2008-09,1.936
Surrey Hills,2008-09,0.726
Syndal,2008-09,0.683
Tecoma,2008-09,0.078
Thomastown,2008-09,0.872
Thornbury,2008-09,0.449
Toorak,2008-09,0.434
Tooronga,2008-09,0.479
Tottenham,2008-09,0.470
Upfield,2008-09,0.370
Upper Ferntree Gully,2008-09,0.281
Upwey,2008-09,0.260
Victoria Park,2008-09,0.474
Watergardens (Sydenham),2008-09,1.496
Watsonia,2008-09,0.598
Wattle Glen,2008-09,0.055
Werribee,2008-09,0.907
West Footscray,2008-09,0.393
West Richmond,2008-09,0.257
Westall,2008-09,0.533
Westgarth,2008-09,0.293
Westona,2008-09,0.349
Williamstown,2008-09,0.138
Williamstown Beach,2008-09,0.244
Willison,2008-09,0.096
Windsor,2008-09,0.966
Yarraman,2008-09,0.336
Yarraville,2008-09,0.843
Aircraft,2009-10,0.305
Alamein,2009-10,0.170
Albion,2009-10,0.809
Alphington,2009-10,0.323
Altona,2009-10,0.391
Anstey,2009-10,0.379
Armadale,2009-10,0.581
Ascot Vale,2009-10,0.587
Ashburton,2009-10,0.303
Aspendale,2009-10,0.380
Auburn,2009-10,0.648
Balaclava,2009-10,1.151
Batman,2009-10,0.333
Bayswater,2009-10,0.505
Beaconsfield,2009-10,0.237
Belgrave,2009-10,0.516
Bell,2009-10,0.550
Bentleigh,2009-10,1.029
Berwick,2009-10,0.776
Blackburn,2009-10,1.237
Bonbeach,2009-10,0.374
Boronia,2009-10,0.617
Box Hill,2009-10,3.161
Brighton Beach,2009-10,0.456
Broadmeadows,2009-10,0.716
Brunswick,2009-10,0.303
Burnley,2009-10,0.872
Burwood,2009-10,0.379
Camberwell,2009-10,2.162
Canterbury,2009-10,0.370
Cardinia Road,2009-10,0.000
Carnegie,2009-10,0.860
Carrum,2009-10,0.538
Caulfield,2009-10,3.486
Chatham,2009-10,0.239
Chelsea,2009-10,0.591
Cheltenham,2009-10,1.403
Clayton,2009-10,1.749
Clifton Hill,2009-10,1.030
Coburg,2009-10,0.740
Collingwood,2009-10,0.377
Coolaroo,2009-10,0.010
