Station,2008-09,2009-10,2010-11,2011-12
Aircraft,"1,089","1,050","1,126","1,062"
Alamein,629,592,558,493
Albion,"2,860","2,925","2,890","2,529"
Alphington,"1,160","1,175","1,140","1,012"
Altona,"1,381","1,305","1,302",962
Anstey,"1,182","1,247","1,232","1,144"
Armadale,"2,041","2,076","2,067","1,845"
Ascot Vale,"2,026","2,089","1,919","1,890"
Ashburton,"1,092","1,116","1,121","1,023"
Aspendale,"1,340","1,305","1,275",960
Auburn,"2,266","2,309","2,428","2,082"
Balaclava,"3,741","3,905","3,794","3,338"
Batman,"1,123","1,138","1,061",942
Bayswater,"1,813","1,881","1,953","1,836"
Beaconsfield,874,891,872,871
Belgrave,"2,025","1,740","1,667","1,652"
Bell,"1,521","1,618","1,549","1,500"
Bentleigh,"3,431","3,546","3,358","2,914"
Berwick,"2,744","2,858","3,178","3,294"
Blackburn,"4,087","4,215","4,381","4,501"
Bonbeach,"1,103","1,309","1,245","1,162"
Boronia,"2,210","2,254","2,439","2,400"
Box Hill,"10,802","11,290","11,119","9,440"
Brighton Beach,"1,431","1,519","1,470","1,404"
Broadmeadows,"2,376","2,432","2,342","2,495"
Brunswick,929,"1,030",994,904
Burnley,"3,079","3,171","3,245","2,856"
Burwood,"1,360","1,373","1,326","1,092"
Camberwell,"7,134","7,257","7,336","6,571"
Canterbury,"1,365","1,331","1,412","1,289"
Cardinia Road,0,0,0,767
Carnegie,"2,835","2,935","3,076","2,845"
Carrum,"1,887","1,811","1,755","1,699"
Caulfield,"11,627","12,833","13,923","13,003"
Chatham,894,859,858,764
Chelsea,"2,040","1,971","2,162","2,061"
Cheltenham,"4,613","4,770","4,257","3,532"
Clayton,"5,155","5,351","5,438","5,358"
Clifton Hill,"3,257","3,253","3,275","3,009"
Coburg,"2,319","2,400","2,389","2,392"
Collingwood,"1,331","1,384","1,356","1,243"
Coolaroo,,,659,775
Craigieburn,"2,019","2,221","2,354","2,445"
Cranbourne,"1,913","2,102","2,333","2,345"
Croxton,937,"1,019","1,012",936
Croydon,"3,127","3,148","3,239","3,049"
Dandenong,"8,724","8,072","9,197","9,233"
Darebin,568,583,597,564
Darling,"1,260","1,248","1,230","1,086"
Dennis,"1,241","1,246","1,328","1,202"
Diamond Creek,868,851,890,776
Eaglemont,760,746,711,632
East Camberwell,988,969,"1,096","1,020"
East Malvern,"1,711","1,823","1,769","1,551"
East Richmond,"2,060","2,052","2,380","2,682"
Edithvale,"1,375","1,365","1,451","1,364"
Elsternwick,"3,503","3,619","3,596","3,351"
Eltham,"2,760","2,756","2,788","2,647"
Epping,"3,129","3,294","2,992","2,166"
