"date","maxTemp","minTemp"
2009-01-01,20.4,14.7
2009-01-02,18.6,10
2009-01-03,20.4,9.2
2009-01-04,27.6,11.6
2009-01-05,26.1,13.6
2009-01-06,30.2,15.8
2009-01-07,20.9,17.6
2009-01-08,19.8,12.6
2009-01-09,21.8,12.6
2009-01-10,23.4,13.3
2009-01-11,23.4,14.3
2009-01-12,25,13.7
2009-01-13,37.8,13.9
2009-01-14,32.6,20.4
2009-01-15,24.6,15.7
2009-01-16,21.5,15.1
2009-01-17,20.1,14.5
2009-01-18,25.1,12.1
2009-01-19,35.8,13.7
2009-01-20,40.5,19.8
2009-01-21,28.8,17.2
2009-01-22,35.6,18.2
2009-01-23,31.8,14.6
2009-01-24,23.4,16.3
2009-01-25,27.1,13
2009-01-26,25.5,14.4
2009-01-27,36.4,16.6
2009-01-28,43.4,18.8
2009-01-29,44.3,25.7
2009-01-30,45.1,25.7
2009-01-31,30.5,22.5
2009-02-01,33.8,20.3
2009-02-02,28.5,20.8
2009-02-03,30.2,20.5
2009-02-04,30.2,16.8
2009-02-05,29.2,19.8
2009-02-06,33.1,17.9
2009-02-07,46.4,18.7
2009-02-08,22.5,18.6
2009-02-09,21.4,16.1
2009-02-10,21.2,14.1
2009-02-11,20.2,14.3
2009-02-12,23.7,14.4
2009-02-13,28,12.8
2009-02-14,28.4,14
2009-02-15,29.6,14.8
2009-02-16,30.1,16
2009-02-17,31.7,15.8
2009-02-18,27.8,17
2009-02-19,30.5,16.8
2009-02-20,24.6,18
2009-02-21,23.8,17.4
2009-02-22,25.5,16.9
2009-02-23,35,16.2
2009-02-24,21.3,14.3
2009-02-25,21.6,14.1
2009-02-26,31.2,14.2
2009-02-27,34,14.3
2009-02-28,23.2,16.1
2009-03-01,19.8,14.5
2009-03-02,25.6,15.3
2009-03-03,32.5,16.8
2009-03-04,19,14
2009-03-05,17.6,12.5
2009-03-06,20.1,12.6
2009-03-07,20.4,13
2009-03-08,21.2,14.7
2009-03-09,25.2,9.7
2009-03-10,26.2,13.5
2009-03-11,29.8,15.8
