"date","rainfall_mm","maxTemp","minTemp"
2009-01-01,0,20.4,14.7
2009-01-02,0.2,18.6,10
2009-01-03,0.6,20.4,9.2
2009-01-04,0,27.6,11.6
2009-01-05,0,26.1,13.6
2009-01-06,0,30.2,15.8
2009-01-07,0,20.9,17.6
2009-01-08,0,19.8,12.6
2009-01-09,0,21.8,12.6
2009-01-10,0,23.4,13.3
2009-01-11,0,23.4,14.3
2009-01-12,0,25,13.7
2009-01-13,0,37.8,13.9
2009-01-14,0,32.6,20.4
2009-01-15,0,24.6,15.7
2009-01-16,0,21.5,15.1
2009-01-17,0,20.1,14.5
2009-01-18,0,25.1,12.1
2009-01-19,0,35.8,13.7
2009-01-20,0,40.5,19.8
2009-01-21,0,28.8,17.2
2009-01-22,0,35.6,18.2
2009-01-23,0,31.8,14.6
2009-01-24,0,23.4,16.3
2009-01-25,0,27.1,13
2009-01-26,0,25.5,14.4
2009-01-27,0,36.4,16.6
2009-01-28,0,43.4,18.8
2009-01-29,0,44.3,25.7
2009-01-30,0,45.1,25.7
2009-01-31,0,30.5,22.5
2009-02-01,0,33.8,20.3
2009-02-02,0,28.5,20.8
2009-02-03,0,30.2,20.5
2009-02-04,0,30.2,16.8
2009-02-05,0,29.2,19.8
2009-02-06,0,33.1,17.9
2009-02-07,0,46.4,18.7
2009-02-08,0.8,22.5,18.6
2009-02-09,0.6,21.4,16.1
2009-02-10,0,21.2,14.1
2009-02-11,0,20.2,14.3
2009-02-12,0,23.7,14.4
2009-02-13,0,28,12.8
2009-02-14,0,28.4,14
2009-02-15,0,29.6,14.8
2009-02-16,0,30.1,16
2009-02-17,0,31.7,15.8
2009-02-18,0,27.8,17
2009-02-19,0,30.5,16.8
2009-02-20,0,24.6,18
2009-02-21,0.2,23.8,17.4
2009-02-22,0,25.5,16.9
2009-02-23,0,35,16.2
2009-02-24,0,21.3,14.3
2009-02-25,1.2,21.6,14.1
2009-02-26,0.2,31.2,14.2
2009-02-27,0,34,14.3
2009-02-28,0,23.2,16.1
2009-03-01,1.6,19.8,14.5
2009-03-02,0,25.6,15.3
2009-03-03,0.8,32.5,16.8
2009-03-04,2.4,19,14
2009-03-05,2,17.6,12.5
2009-03-06,6.6,20.1,12.6
2009-03-07,0.4,20.4,13
2009-03-08,0,21.2,14.7
2009-03-09,0,25.2,9.7
2009-03-10,0,26.2,13.5
2009-03-11,0,29.8,15.8
2009-03-12,5.4,25.2,18.2
2009-03-13,3,29,17.7
2009-03-14,0.4,23.3,18.6
2009-03-15,20.4,18.9,12
2009-03-16,0.4,21.9,12.7
2009-03-17,0.2,20.1,13.9
2009-03-18,0,28.5,14.3
2009-03-19,0,33.1,14.8
2009-03-20,0,23.8,16.8
2009-03-21,0,34.6,15.4
2009-03-22,0,25.6,20.4
2009-03-23,1.6,19.9,14.7
2009-03-24,0,21.1,13.8
2009-03-25,2.4,23.9,15.7
2009-03-26,0,24,15.4
2009-03-27,0,20.5,12.7
2009-03-28,0,26.7,9.7
2009-03-29,0,24.7,11.3
2009-03-30,0,22.5,14
2009-03-31,0,30.1,14.5
2009-04-01,0,29.8,15.4
2009-04-02,0,32.8,16.9
2009-04-03,0,24.7,21.2
2009-04-04,18,19.6,11.3
2009-04-05,0,20.1,12.5
2009-04-06,0.2,17.2,9.2
2009-04-07,2.2,18.4,11.4
2009-04-08,1.6,19.9,12.3
2009-04-09,0,24.4,13.7
2009-04-10,0,19.5,13.9
2009-04-11,0,22.5,14.4
2009-04-12,0,21.9,12.3
2009-04-13,0,26.2,9.8
2009-04-14,0,28.8,12.1
2009-04-15,1.2,17.7,12.9
2009-04-16,0,20.5,7.3
2009-04-17,0,21.9,13.2
2009-04-18,0,19.2,13.8
2009-04-19,0,19.1,14
2009-04-20,0,22,8.7
2009-04-21,0,24.6,9.4
2009-04-22,0,25.1,9.8
2009-04-23,0,22.8,11.3
2009-04-24,0,18.2,15.1
2009-04-25,3.4,19,12.3
2009-04-26,2.6,13.6,9.1
2009-04-27,1.8,14.4,8.4
2009-04-28,6.6,14.4,7.7
